CustomerID,Churn,tenure,Contract,PaymentMethod,MonthlyCharges,churn_proba,top_risk_reason,top_risk_reasons
7216-EWTRS,1,1,Month-to-month,Electronic check,100.8,0.9434154293553066,Contrat mensuel (impact SHAP +0.89),Contrat mensuel (impact SHAP +0.89) • Ancienneté courte (impact SHAP +0.79) • Sans sécurité en ligne (impact SHAP +0.27)
0107-YHINA,1,1,Month-to-month,Electronic check,99.75,0.943241205962493,Contrat mensuel (impact SHAP +0.89),Contrat mensuel (impact SHAP +0.89) • Ancienneté courte (impact SHAP +0.83) • Sans sécurité en ligne (impact SHAP +0.27)
5419-JPRRN,1,1,Month-to-month,Electronic check,101.45,0.9430736422467542,Contrat mensuel (impact SHAP +0.88),Contrat mensuel (impact SHAP +0.88) • Ancienneté courte (impact SHAP +0.78) • Sans sécurité en ligne (impact SHAP +0.27)
5178-LMXOP,1,1,Month-to-month,Electronic check,95.1,0.9419800910217937,Contrat mensuel (impact SHAP +0.88),Contrat mensuel (impact SHAP +0.88) • Ancienneté courte (impact SHAP +0.82) • Sans sécurité en ligne (impact SHAP +0.27)
9497-QCMMS,1,1,Month-to-month,Electronic check,93.55,0.9419800910217937,Contrat mensuel (impact SHAP +0.88),Contrat mensuel (impact SHAP +0.88) • Ancienneté courte (impact SHAP +0.82) • Sans sécurité en ligne (impact SHAP +0.29)
9300-AGZNL,1,1,Month-to-month,Electronic check,94.0,0.9419800910217937,Contrat mensuel (impact SHAP +0.88),Contrat mensuel (impact SHAP +0.88) • Ancienneté courte (impact SHAP +0.82) • Sans sécurité en ligne (impact SHAP +0.27)
6521-YYTYI,1,1,Month-to-month,Electronic check,93.3,0.9418017208625857,Contrat mensuel (impact SHAP +0.93),Contrat mensuel (impact SHAP +0.93) • Ancienneté courte (impact SHAP +0.85) • Sans sécurité en ligne (impact SHAP +0.30)
4910-GMJOT,1,1,Month-to-month,Electronic check,94.6,0.941630170466834,Contrat mensuel (impact SHAP +0.88),Contrat mensuel (impact SHAP +0.88) • Ancienneté courte (impact SHAP +0.82) • Sans sécurité en ligne (impact SHAP +0.27)
8149-RSOUN,1,1,Month-to-month,Electronic check,93.85,0.941630170466834,Contrat mensuel (impact SHAP +0.88),Contrat mensuel (impact SHAP +0.88) • Ancienneté courte (impact SHAP +0.82) • Sans sécurité en ligne (impact SHAP +0.27)
0295-PPHDO,1,1,Month-to-month,Electronic check,95.45,0.941630170466834,Contrat mensuel (impact SHAP +0.88),Contrat mensuel (impact SHAP +0.88) • Ancienneté courte (impact SHAP +0.82) • Sans sécurité en ligne (impact SHAP +0.27)
1069-XAIEM,1,1,Month-to-month,Electronic check,85.05,0.9395733551615157,Contrat mensuel (impact SHAP +0.95),Contrat mensuel (impact SHAP +0.95) • Ancienneté courte (impact SHAP +0.82) • Sans sécurité en ligne (impact SHAP +0.30)
9282-IZGQK,1,1,Month-to-month,Electronic check,85.0,0.9390803041305152,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.81) • Sans sécurité en ligne (impact SHAP +0.31)
8603-IJWDN,1,1,Month-to-month,Electronic check,86.6,0.9390803041305152,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.84) • Sans sécurité en ligne (impact SHAP +0.31)
3988-RQIXO,1,1,Month-to-month,Electronic check,91.3,0.9355079145370229,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.86) • Sans sécurité en ligne (impact SHAP +0.28)
2725-KXXWT,1,1,Month-to-month,Electronic check,90.75,0.9351216484516759,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.87) • Sans sécurité en ligne (impact SHAP +0.30)
9725-SCPZG,1,1,Month-to-month,Electronic check,90.85,0.9351216484516759,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.89) • Sans sécurité en ligne (impact SHAP +0.30)
7274-RTAPZ,1,1,Month-to-month,Electronic check,90.55,0.9351216484516759,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.88) • Sans sécurité en ligne (impact SHAP +0.30)
8580-AECUZ,1,1,Month-to-month,Electronic check,79.1,0.9342111906662549,Contrat mensuel (impact SHAP +0.95),Contrat mensuel (impact SHAP +0.95) • Ancienneté courte (impact SHAP +0.85) • Sans sécurité en ligne (impact SHAP +0.29)
6567-HOOPW,1,1,Month-to-month,Electronic check,79.2,0.9342111906662549,Contrat mensuel (impact SHAP +0.95),Contrat mensuel (impact SHAP +0.95) • Ancienneté courte (impact SHAP +0.86) • Sans sécurité en ligne (impact SHAP +0.28)
6230-BSUXY,1,1,Month-to-month,Electronic check,85.0,0.9338778732535387,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.86) • Sans sécurité en ligne (impact SHAP +0.30)
4826-XTSOH,1,1,Month-to-month,Electronic check,86.05,0.9338410734892608,Contrat mensuel (impact SHAP +0.96),Contrat mensuel (impact SHAP +0.96) • Ancienneté courte (impact SHAP +0.81) • Sans sécurité en ligne (impact SHAP +0.30)
3068-OMWZA,1,1,Month-to-month,Electronic check,88.8,0.9338410734892608,Contrat mensuel (impact SHAP +0.96),Contrat mensuel (impact SHAP +0.96) • Ancienneté courte (impact SHAP +0.81) • Sans sécurité en ligne (impact SHAP +0.30)
5192-EBGOV,1,1,Month-to-month,Electronic check,85.7,0.9338410734892608,Contrat mensuel (impact SHAP +0.96),Contrat mensuel (impact SHAP +0.96) • Ancienneté courte (impact SHAP +0.81) • Sans sécurité en ligne (impact SHAP +0.30)
9300-RENDD,1,1,Month-to-month,Electronic check,79.95,0.9338177074816719,Contrat mensuel (impact SHAP +0.95),Contrat mensuel (impact SHAP +0.95) • Ancienneté courte (impact SHAP +0.86) • Sans sécurité en ligne (impact SHAP +0.29)
1761-AEZZR,1,1,Month-to-month,Electronic check,79.55,0.9338177074816719,Contrat mensuel (impact SHAP +0.95),Contrat mensuel (impact SHAP +0.95) • Ancienneté courte (impact SHAP +0.86) • Sans sécurité en ligne (impact SHAP +0.29)
5919-TMRGD,1,1,Month-to-month,Electronic check,79.35,0.9338177074816719,Contrat mensuel (impact SHAP +0.95),Contrat mensuel (impact SHAP +0.95) • Ancienneté courte (impact SHAP +0.88) • Sans sécurité en ligne (impact SHAP +0.29)
8740-CRYFY,1,1,Month-to-month,Electronic check,78.95,0.9338177074816719,Contrat mensuel (impact SHAP +0.95),Contrat mensuel (impact SHAP +0.95) • Ancienneté courte (impact SHAP +0.85) • Sans sécurité en ligne (impact SHAP +0.29)
2514-GINMM,1,1,Month-to-month,Electronic check,79.5,0.9338177074816719,Contrat mensuel (impact SHAP +0.95),Contrat mensuel (impact SHAP +0.95) • Ancienneté courte (impact SHAP +0.86) • Sans sécurité en ligne (impact SHAP +0.29)
5960-WPXQM,1,1,Month-to-month,Electronic check,79.05,0.9338177074816719,Contrat mensuel (impact SHAP +0.95),Contrat mensuel (impact SHAP +0.95) • Ancienneté courte (impact SHAP +0.85) • Sans sécurité en ligne (impact SHAP +0.29)
8058-INTPH,1,1,Month-to-month,Electronic check,79.65,0.9338177074816719,Contrat mensuel (impact SHAP +0.95),Contrat mensuel (impact SHAP +0.95) • Ancienneté courte (impact SHAP +0.86) • Sans sécurité en ligne (impact SHAP +0.29)
2868-MZAGQ,1,1,Month-to-month,Electronic check,79.25,0.9336774754722006,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.88) • Sans sécurité en ligne (impact SHAP +0.29)
7594-RQHXR,1,1,Month-to-month,Electronic check,79.6,0.9336774754722006,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.89) • Sans sécurité en ligne (impact SHAP +0.29)
0495-RVCBF,1,1,Month-to-month,Electronic check,79.7,0.9336774754722006,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.88) • Sans sécurité en ligne (impact SHAP +0.29)
5597-GLBUC,1,1,Month-to-month,Electronic check,85.45,0.9334825384417776,Contrat mensuel (impact SHAP +0.95),Contrat mensuel (impact SHAP +0.95) • Ancienneté courte (impact SHAP +0.85) • Sans sécurité en ligne (impact SHAP +0.30)
2202-CUYXZ,1,1,Month-to-month,Electronic check,84.85,0.9334825384417776,Contrat mensuel (impact SHAP +0.95),Contrat mensuel (impact SHAP +0.95) • Ancienneté courte (impact SHAP +0.85) • Sans sécurité en ligne (impact SHAP +0.30)
4912-PIGUY,0,1,Month-to-month,Electronic check,84.6,0.9334455343370882,Contrat mensuel (impact SHAP +0.96),Contrat mensuel (impact SHAP +0.96) • Ancienneté courte (impact SHAP +0.81) • Sans sécurité en ligne (impact SHAP +0.31)
3178-FESZO,1,1,Month-to-month,Credit card (automatic),100.25,0.9333916282259399,Ancienneté courte (impact SHAP +0.95),Ancienneté courte (impact SHAP +0.95) • Contrat mensuel (impact SHAP +0.88) • avg monthly spend (impact SHAP +0.33)
5494-HECPR,1,1,Month-to-month,Electronic check,80.25,0.9332091383507622,Contrat mensuel (impact SHAP +0.95),Contrat mensuel (impact SHAP +0.95) • Ancienneté courte (impact SHAP +0.86) • Sans sécurité en ligne (impact SHAP +0.29)
1415-YFWLT,1,1,Month-to-month,Electronic check,89.3,0.9328518428761026,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.86) • Sans sécurité en ligne (impact SHAP +0.29)
7577-SWIFR,0,1,Month-to-month,Electronic check,89.25,0.9324508172937903,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.86) • Sans sécurité en ligne (impact SHAP +0.31)
1941-HOSAM,0,1,Month-to-month,Electronic check,90.1,0.9324508172937903,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.88) • Sans sécurité en ligne (impact SHAP +0.30)
4273-MBHYA,0,1,Month-to-month,Electronic check,89.35,0.9324508172937903,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.88) • Sans sécurité en ligne (impact SHAP +0.30)
0970-ETWGE,1,1,Month-to-month,Electronic check,89.55,0.9324508172937903,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.86) • Sans sécurité en ligne (impact SHAP +0.31)
3027-ZTDHO,1,1,Month-to-month,Electronic check,89.9,0.9324508172937903,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.86) • Sans sécurité en ligne (impact SHAP +0.31)
1455-ESIQH,1,1,Month-to-month,Electronic check,89.1,0.9324508172937903,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.85) • Sans sécurité en ligne (impact SHAP +0.31)
3722-WPXTK,1,1,Month-to-month,Electronic check,88.35,0.9324508172937903,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.85) • Sans sécurité en ligne (impact SHAP +0.31)
5167-ZFFMM,1,1,Month-to-month,Credit card (automatic),90.85,0.9313845741555266,Ancienneté courte (impact SHAP +1.01),Ancienneté courte (impact SHAP +1.01) • Contrat mensuel (impact SHAP +0.93) • Sans sécurité en ligne (impact SHAP +0.30)
5299-SJCZT,1,3,Month-to-month,Bank transfer (automatic),101.55,0.9308079742340422,Contrat mensuel (impact SHAP +0.86),Contrat mensuel (impact SHAP +0.86) • Ancienneté courte (impact SHAP +0.70) • avg monthly spend (impact SHAP +0.32)
8775-LHDJH,1,1,Month-to-month,Electronic check,90.6,0.930590942375742,Contrat mensuel (impact SHAP +0.96),Contrat mensuel (impact SHAP +0.96) • Ancienneté courte (impact SHAP +0.83) • Sans sécurité en ligne (impact SHAP +0.30)
7439-DKZTW,0,1,Month-to-month,Electronic check,80.55,0.9295465350248129,Contrat mensuel (impact SHAP +0.95),Contrat mensuel (impact SHAP +0.95) • Ancienneté courte (impact SHAP +0.86) • Sans sécurité en ligne (impact SHAP +0.29)
0318-QUUOB,1,1,Month-to-month,Electronic check,80.55,0.9295465350248129,Contrat mensuel (impact SHAP +0.95),Contrat mensuel (impact SHAP +0.95) • Ancienneté courte (impact SHAP +0.86) • Sans sécurité en ligne (impact SHAP +0.29)
6457-USBER,1,1,Month-to-month,Electronic check,80.8,0.9293979371733895,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.88) • Sans sécurité en ligne (impact SHAP +0.29)
2004-OCQXK,1,1,Month-to-month,Electronic check,81.95,0.9288167894433053,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.89) • Sans sécurité en ligne (impact SHAP +0.30)
9248-OJYKK,1,1,Month-to-month,Electronic check,76.45,0.928334706664284,Contrat mensuel (impact SHAP +0.96),Contrat mensuel (impact SHAP +0.96) • Ancienneté courte (impact SHAP +0.83) • Sans sécurité en ligne (impact SHAP +0.29)
2609-IAICY,1,1,Month-to-month,Electronic check,77.15,0.9277570047810128,Contrat mensuel (impact SHAP +0.96),Contrat mensuel (impact SHAP +0.96) • Ancienneté courte (impact SHAP +0.83) • Sans sécurité en ligne (impact SHAP +0.30)
2018-QKYGT,0,1,Month-to-month,Electronic check,81.05,0.927311298457813,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.88) • Sans sécurité en ligne (impact SHAP +0.29)
4614-NUVZD,1,1,Month-to-month,Electronic check,81.1,0.927311298457813,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.87) • Sans sécurité en ligne (impact SHAP +0.29)
4844-JJWUY,1,1,Month-to-month,Electronic check,86.0,0.9267958471333761,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.89) • Sans sécurité en ligne (impact SHAP +0.29)
1628-BIZYP,0,1,Month-to-month,Electronic check,85.0,0.9262067263988291,Contrat mensuel (impact SHAP +0.94),Contrat mensuel (impact SHAP +0.94) • Ancienneté courte (impact SHAP +0.86) • Sans sécurité en ligne (impact SHAP +0.30)
5052-PNLOS,1,3,Month-to-month,Bank transfer (automatic),105.35,0.9259540945947988,Contrat mensuel (impact SHAP +0.85),Contrat mensuel (impact SHAP +0.85) • Ancienneté courte (impact SHAP +0.65) • avg monthly spend (impact SHAP +0.44)
0742-NXBGR,1,1,Month-to-month,Electronic check,82.3,0.9251713301034078,Contrat mensuel (impact SHAP +0.95),Contrat mensuel (impact SHAP +0.95) • Ancienneté courte (impact SHAP +0.90) • Sans sécurité en ligne (impact SHAP +0.30)
